12/22/2016 2:38:12 PM:330,-0.0752729,1.59025,0.1308384,352.2558,261.4848,359.1992,Head
12/22/2016 2:38:12 PM:529,-0.08176659,1.58853,0.1262468,353.6557,261.8522,359.3594,Head
12/22/2016 2:38:12 PM:561,-0.08194107,1.588106,0.125824,353.8664,262.1102,359.4466,Head
12/22/2016 2:38:12 PM:596,-0.08173927,1.588075,0.1254449,353.841,262.1059,359.4648,Head
12/22/2016 2:38:12 PM:627,-0.08184943,1.58796,0.1251795,353.8548,262.0816,359.5019,Head
12/22/2016 2:38:12 PM:661,-0.08169959,1.588019,0.1248996,353.863,262.0582,359.5607,Head
12/22/2016 2:38:12 PM:694,-0.08150908,1.588054,0.1246982,353.8581,262.0492,359.6188,Head
12/22/2016 2:38:12 PM:735,-0.08151476,1.588004,0.1244427,353.8596,262.0294,359.6726,Head
12/22/2016 2:38:12 PM:774,-0.08142266,1.587919,0.1243049,353.8773,262.0512,359.6944,Head
12/22/2016 2:38:12 PM:809,-0.08145354,1.587799,0.1240296,353.8879,262.0261,359.7159,Head
12/22/2016 2:38:12 PM:877,-0.08159053,1.587746,0.123835,353.9575,261.9498,359.7321,Head
12/22/2016 2:38:12 PM:919,-0.08142839,1.587822,0.1237002,353.9516,261.994,359.6704,Head
12/22/2016 2:38:12 PM:953,-0.08142776,1.587758,0.1237889,353.9673,262.0725,359.6918,Head
12/22/2016 2:38:12 PM:987,-0.08137074,1.587706,0.1237827,354.006,262.1375,359.7076,Head
12/22/2016 2:38:13 PM:23,-0.08140577,1.587597,0.1237642,354.059,262.1247,359.7072,Head
12/22/2016 2:38:13 PM:54,-0.08129694,1.58733,0.1237165,354.1267,262.0708,359.6545,Head
12/22/2016 2:38:13 PM:91,-0.08124539,1.587253,0.1235264,354.1994,262.0585,359.6367,Head
12/22/2016 2:38:13 PM:124,-0.08119721,1.58723,0.12361,354.2522,262.0871,359.6476,Head
